requirement_id,line_number,requirement_text,total_score,avg_severity,risk_count,risk_id,category,severity,severity_name,description,evidence,suggestion
R001,1,The system shall allow users to login with email and password,16,2.67,6,R001-AMB-001,ambiguity,2,MEDIUM,Imprecise quantifier 'all' found - specify exact values or criteria,all,"Replace 'all' with specific values (e.g., 'at least 5', 'within 2 seconds', '99.9% uptime')"
R001,1,The system shall allow users to login with email and password,16,2.67,6,R001-MIS-001,missing_detail,3,HIGH,Action 'allow' lacks sufficient detail about how it should be performed,allow,"Specify how 'allow' should be performed (e.g., when, where, under what conditions)"
R001,1,The system shall allow users to login with email and password,16,2.67,6,R001-MIS-001,missing_detail,3,HIGH,Actor 'user' is unspecified or ambiguous,user,"Specify which 'user' (e.g., 'authenticated users', 'system administrators', 'external API')"
R001,1,The system shall allow users to login with email and password,16,2.67,6,R001-MIS-001,missing_detail,3,HIGH,Actor 'system' is unspecified or ambiguous,system,"Specify which 'system' (e.g., 'authenticated users', 'system administrators', 'external API')"
R001,1,The system shall allow users to login with email and password,16,2.67,6,R001-AVA-001,availability,2,MEDIUM,Service mention without availability/uptime specification,The system shall allow users to login with email and password,"Specify uptime target (e.g., 99.9%), maintenance windows, or SLOs"
R001,1,The system shall allow users to login with email and password,16,2.67,6,R001-TRA-001,traceability,3,HIGH,"No traceability signals found (ID, acceptance criteria, or test reference)",The system shall allow users to login with email and password,
R002,2,The system shall display user dashboard after successful login,13,2.6,5,R002-AMB-001,ambiguity,2,MEDIUM,Imprecise quantifier 'all' found - specify exact values or criteria,all,"Replace 'all' with specific values (e.g., 'at least 5', 'within 2 seconds', '99.9% uptime')"
R002,2,The system shall display user dashboard after successful login,13,2.6,5,R002-MIS-001,missing_detail,3,HIGH,Actor 'user' is unspecified or ambiguous,user,"Specify which 'user' (e.g., 'authenticated users', 'system administrators', 'external API')"
R002,2,The system shall display user dashboard after successful login,13,2.6,5,R002-MIS-001,missing_detail,3,HIGH,Actor 'system' is unspecified or ambiguous,system,"Specify which 'system' (e.g., 'authenticated users', 'system administrators', 'external API')"
R002,2,The system shall display user dashboard after successful login,13,2.6,5,R002-AVA-001,availability,2,MEDIUM,Service mention without availability/uptime specification,The system shall display user dashboard after successful login,"Specify uptime target (e.g., 99.9%), maintenance windows, or SLOs"
R002,2,The system shall display user dashboard after successful login,13,2.6,5,R002-TRA-001,traceability,3,HIGH,"No traceability signals found (ID, acceptance criteria, or test reference)",The system shall display user dashboard after successful login,
R003,3,The system shall support password reset functionality,16,2.67,6,R003-AMB-001,ambiguity,2,MEDIUM,Imprecise quantifier 'all' found - specify exact values or criteria,all,"Replace 'all' with specific values (e.g., 'at least 5', 'within 2 seconds', '99.9% uptime')"
R003,3,The system shall support password reset functionality,16,2.67,6,R003-MIS-001,missing_detail,3,HIGH,Action 'support' lacks sufficient detail about how it should be performed,support,"Specify how 'support' should be performed (e.g., when, where, under what conditions)"
